|caseid|task|user|end_timestamp|start_timestamp|enable_timestamp|source|run_num|processing_time|waiting_time|multitasking|role|st_wip|st_tsk_wip|n_task|role_1_st_oc|role_2_st_oc|role_3_st_oc|role_4_st_oc|role_5_st_oc|role_6_st_oc|end_wip|role_1_end_oc|role_2_end_oc|role_3_end_oc|role_4_end_oc|role_5_end_oc|role_6_end_oc
0|Case1|Turning & Milling|ID4932|2012-01-30 12:43:00|2012-01-30 06:24:00|2012-01-30 12:43:00|log|0.0|22740.0|0.0|22740.0|Role 1|14|2|Turning & Milling|0.18181818181818182|0.0|0.0|0.0|0.0|0|12|0.09090909090909091|0.0|0.0|0.0|0.0|0
1|Case1|Turning & Milling|ID4932|2012-01-30 13:42:00|2012-01-30 12:44:00|2012-01-30 12:43:00|log|0.0|3480.0|60.0|0.0|Role 1|12|2|Turning & Milling|0.18181818181818182|0.0|0.0|0.0|0.0|0|12|0.09090909090909091|0.0|0.0|0.0|0.0|0
2|Case1|Turning & Milling|ID4167|2012-01-30 14:21:00|2012-01-30 13:59:00|2012-01-30 13:42:00|log|0.0|1320.0|1020.0|0.0|Role 1|12|1|Turning & Milling|0.09090909090909091|0.0|0.0|0.0|0.0|0|12|0.18181818181818182|0.0|0.6666666666666666|0.0|0.0|0
3|Case1|Turning & Milling|ID4167|2012-01-30 17:58:00|2012-01-30 14:21:00|2012-01-30 14:21:00|log|0.0|13020.0|0.0|0.0|Role 1|12|2|Turning & Milling Q.C.|0.18181818181818182|0.0|0.6666666666666666|0.0|0.0|0|12|0.0|0.0|0.0|0.0|0.0|0
4|Case1|Turning & Milling Q.C.|ID4163|2012-01-31 21:50:00|2012-01-31 20:20:00|2012-01-30 17:58:00|log|0.0|5400.0|94920.0|0.0|Role 3|13|1|Laser Marking|0.09090909090909091|0.0|0.3333333333333333|0.0|0.0|0|13|0.09090909090909091|0.0|0.0|0.0|0.0|0
5|Case1|Laser Marking|ID0998|2012-02-01 15:27:00|2012-02-01 15:18:00|2012-01-31 21:50:00|log|0.0|540.0|62880.0|0.0|Role 5|13|1|Lapping|0.0|0.14285714285714285|0.3333333333333333|0.0|0.5|0|13|0.0|0.14285714285714285|0.3333333333333333|0.0|0.0|0
6|Case1|Lapping|ID4882|2012-02-14 08:15:00|2012-02-14 07:00:00|2012-02-01 15:27:00|log|0.0|4500.0|1092780.0|0.0|Role 5|16|1|Lapping|0.09090909090909091|0.0|0.0|0.0|0.5|0|17|0.09090909090909091|0.14285714285714285|0.0|0.0|0.0|0
7|Case1|Lapping|ID4882|2012-02-14 16:38:00|2012-02-14 16:05:00|2012-02-14 08:15:00|log|0.0|1980.0|28200.0|0.0|Role 5|17|1|Round Grinding|0.09090909090909091|0.0|0.3333333333333333|0.0|0.5|0|17|0.09090909090909091|0.14285714285714285|0.3333333333333333|0.0|0.0|0
8|Case1|Round Grinding|ID4445|2012-02-14 20:37:00|2012-02-14 16:13:00|2012-02-14 16:38:00|log|0.0|14340.0|0.0|1500.0|Role 2|17|1|Round Grinding|0.09090909090909091|0.14285714285714285|0.3333333333333333|0.0|0.5|0|17|0.09090909090909091|0.14285714285714285|0.0|0.0|0.5|0
9|Case1|Round Grinding|ID4445|2012-02-14 22:27:00|2012-02-14 20:37:00|2012-02-14 20:37:00|log|0.0|6600.0|0.0|0.0|Role 2|17|1|Final Inspection Q.C.|0.09090909090909091|0.14285714285714285|0.0|0.0|0.5|0|17|0.09090909090909091|0.14285714285714285|0.0|0.0|0.0|0
10|Case1|Final Inspection Q.C.|ID4493|2012-02-16 14:59:00|2012-02-16 13:59:00|2012-02-14 22:27:00|log|0.0|3600.0|142320.0|0.0|Role 6|18|1|Final Inspection Q.C.|0.0|0.0|0.0|0.0|0.0|1|18|0.0|0.0|0.0|0.0|0.0|1
